"algorithm","localsearch","alpha","beta","rho","ants","q0","rasrank","elitistants","nnls","dlb","Elite"
3,4,2.26,0.42,0.8,65,0.56,NA,NA,23,1,FALSE
5,4,0.69,2.19,0.7,77,NA,NA,NA,9,1,FALSE
3,4,1.48,6.11,0.75,54,0.62,NA,NA,6,1,FALSE
3,4,3.38,0.41,0.96,30,0.59,NA,NA,19,1,FALSE
3,4,1.71,0.62,0.79,47,0.33,NA,NA,31,1,FALSE
3,4,1.66,1.85,0.76,43,0.62,NA,NA,18,1,FALSE
3,4,2.85,6.33,0.71,18,0.34,NA,NA,17,1,FALSE
3,4,1.83,1.02,0.9,59,0.89,NA,NA,13,1,TRUE
3,4,1.96,0.79,0.84,38,0.66,NA,NA,12,1,TRUE
3,4,2.98,2.66,0.63,57,0.44,NA,NA,16,1,FALSE
3,4,1.17,1.57,0.78,71,0.84,NA,NA,22,1,FALSE
3,4,0.66,4.68,0.86,41,0.7,NA,NA,19,1,FALSE
3,4,2.35,2.07,0.79,55,0.68,NA,NA,15,1,TRUE
3,4,1.76,2.8,0.74,45,0.41,NA,NA,18,1,TRUE
3,4,1.83,1.02,0.9,59,0.89,NA,NA,13,1,TRUE
3,4,1.96,0.79,0.84,38,0.66,NA,NA,12,1,TRUE
3,4,2.43,0.39,0.72,44,0.49,NA,NA,19,1,TRUE
3,4,1.17,3.33,0.77,48,0.52,NA,NA,18,1,FALSE
3,4,2.43,1.21,0.84,54,0.67,NA,NA,8,1,FALSE
3,4,2.46,2.03,0.69,52,0.32,NA,NA,17,1,FALSE
3,4,1.45,2.13,0.69,33,0.28,NA,NA,19,1,FALSE
3,4,2.42,1.13,0.77,56,0.84,NA,NA,11,1,FALSE
3,4,2.09,1.05,0.97,51,0.98,NA,NA,12,1,FALSE
3,4,0.76,4.3,0.74,55,0.51,NA,NA,16,1,FALSE
3,4,1.7,4.91,0.83,41,0.47,NA,NA,18,1,TRUE
3,4,2.01,2.71,0.81,64,0.51,NA,NA,17,1,FALSE
4,4,1.85,0.84,0.88,66,NA,NA,226,18,1,FALSE
3,4,1.75,2.26,0.74,32,0.42,NA,NA,17,1,FALSE
3,4,1.91,1.77,0.68,62,0.84,NA,NA,21,1,FALSE
3,4,2.39,0.77,0.69,60,0.61,NA,NA,13,1,FALSE
3,4,2.1,2.64,0.9,51,0.76,NA,NA,11,1,FALSE
3,4,2,1.41,0.82,39,0.61,NA,NA,7,1,FALSE
3,4,2.73,3.7,0.88,47,0.83,NA,NA,13,1,FALSE
3,4,1.19,0.24,0.7,44,0.61,NA,NA,19,1,FALSE
3,4,1.93,4.13,0.73,54,0.41,NA,NA,18,1,FALSE
3,4,2.11,1.23,0.88,62,0.92,NA,NA,12,1,TRUE
3,4,2.57,0.26,0.94,51,0.89,NA,NA,8,1,FALSE
3,4,2.45,1.46,0.87,63,0.75,NA,NA,18,1,FALSE
3,4,2.5,0.51,0.73,40,0.67,NA,NA,12,1,FALSE
3,4,2.37,1.69,0.88,34,0.65,NA,NA,14,1,FALSE
3,4,2.04,3.26,0.85,55,0.77,NA,NA,16,1,FALSE
3,4,1.83,2.17,0.83,49,0.66,NA,NA,13,1,FALSE
3,4,2.56,1.25,0.81,47,0.58,NA,NA,20,1,FALSE
3,4,1.35,2.13,0.68,39,0.3,NA,NA,19,1,FALSE
3,4,1.76,2.03,0.78,68,0.89,NA,NA,14,1,FALSE
3,4,2.11,1.98,0.81,57,0.5,NA,NA,17,1,FALSE
3,4,2.4,1.45,0.92,59,0.66,NA,NA,16,1,TRUE
3,4,2.11,1.23,0.88,62,0.92,NA,NA,12,1,TRUE
3,4,1.76,2.8,0.74,45,0.41,NA,NA,18,1,TRUE
3,4,2.4,1.45,0.92,59,0.66,NA,NA,16,1,TRUE
3,4,1.7,4.91,0.83,41,0.47,NA,NA,18,1,TRUE
3,4,1.83,1.02,0.9,59,0.89,NA,NA,13,1,TRUE
3,4,2.1,0.6,0.89,62,0.93,NA,NA,11,1,FALSE
3,4,2.49,1.15,0.88,76,0.92,NA,NA,10,1,FALSE
3,4,2.21,2.16,0.73,49,0.38,NA,NA,21,1,FALSE
3,4,1.39,0.21,0.87,60,0.78,NA,NA,15,1,FALSE
3,4,2.61,1.38,0.77,54,0.7,NA,NA,14,1,FALSE
3,4,2.18,0.61,0.85,52,0.86,NA,NA,9,1,FALSE
3,4,2.15,5.48,0.92,45,0.53,NA,NA,21,1,FALSE
3,4,2.15,1,0.97,52,0.63,NA,NA,16,1,TRUE
3,4,1.83,1.02,0.9,59,0.89,NA,NA,13,1,TRUE
3,4,1.76,2.8,0.74,45,0.41,NA,NA,18,1,TRUE
3,4,2.15,1,0.97,52,0.63,NA,NA,16,1,TRUE
3,4,2.4,1.45,0.92,59,0.66,NA,NA,16,1,TRUE
3,4,2.11,1.23,0.88,62,0.92,NA,NA,12,1,TRUE
3,4,1.57,2.51,0.74,42,0.45,NA,NA,19,1,FALSE
3,2,0.46,3.58,0.74,27,0.14,NA,NA,21,2,FALSE
5,1,2.96,8.58,0.24,75,NA,NA,NA,NA,NA,FALSE
1,4,1.71,1.08,0.49,99,NA,NA,NA,32,1,FALSE
2,3,4.21,6.08,0.98,51,NA,12,NA,9,2,FALSE
4,4,3.58,7.33,0.86,15,NA,NA,627,50,1,FALSE
1,3,1.08,2.33,0.36,63,NA,NA,NA,27,2,FALSE
2,1,2.33,4.83,0.61,39,NA,99,NA,NA,NA,FALSE
5,2,4.83,9.83,0.12,87,NA,NA,NA,15,2,FALSE
5,3,2.02,6.7,0.67,93,NA,NA,NA,30,2,FALSE
3,4,4.52,1.7,0.18,45,0.33,NA,NA,7,1,TRUE
1,2,3.27,4.2,0.92,69,NA,NA,NA,41,2,FALSE
4,1,0.77,9.2,0.43,21,NA,NA,392,NA,NA,FALSE
4,4,0.14,5.45,0.55,57,NA,NA,674,24,1,FALSE
3,3,2.64,0.45,0.06,9,0.95,NA,NA,47,2,FALSE
5,1,3.89,2.95,0.8,81,NA,NA,NA,NA,NA,FALSE
2,2,1.39,7.95,0.3,33,NA,30,NA,35,2,FALSE
2,2,3.11,5.14,0.4,60,NA,46,NA,11,1,FALSE
5,1,0.61,0.14,0.89,12,NA,NA,NA,NA,NA,FALSE
4,3,1.86,2.64,0.15,84,NA,NA,744,22,1,FALSE
1,4,4.36,7.64,0.64,36,NA,NA,NA,45,2,FALSE
3,1,4.99,6.39,0.27,96,0.48,NA,NA,NA,NA,FALSE
4,2,2.49,1.39,0.77,48,NA,NA,463,17,1,FALSE
2,4,1.24,3.89,0.02,72,NA,59,NA,28,2,FALSE
1,3,3.74,8.89,0.52,24,NA,NA,NA,5,1,FALSE
5,2,0.92,7.02,0.21,6,NA,NA,NA,37,1,FALSE
2,1,3.42,2.02,0.71,54,NA,77,NA,NA,NA,FALSE
4,3,4.67,4.52,0.46,30,NA,NA,603,48,1,FALSE
3,4,2.17,9.52,0.95,78,0.67,NA,NA,25,2,FALSE
5,4,2.8,3.27,0.33,18,NA,NA,NA,8,2,TRUE
3,3,0.3,8.27,0.83,66,0.05,NA,NA,31,1,FALSE
2,2,4.05,0.77,0.58,90,NA,40,NA,43,1,FALSE
1,1,1.55,5.77,0.09,42,NA,NA,NA,NA,NA,FALSE
5,4,3.03,2.48,0.1,94,NA,NA,NA,39,1,FALSE
2,3,0.53,7.48,0.6,46,NA,41,NA,16,2,FALSE
4,1,1.78,9.98,0.35,70,NA,NA,146,NA,NA,FALSE
3,2,4.28,4.98,0.84,22,0.38,NA,NA,27,2,FALSE
3,1,3.66,3.73,0.97,34,0.75,NA,NA,NA,NA,FALSE
5,2,1.16,8.73,0.47,82,NA,NA,NA,10,2,FALSE
1,3,4.91,1.23,0.23,58,NA,NA,NA,22,2,FALSE
4,4,2.41,6.23,0.72,10,NA,NA,240,45,1,FALSE
4,1,4.6,8.11,0.04,28,NA,NA,6,NA,NA,FALSE
1,2,2.1,3.11,0.54,76,NA,NA,NA,48,2,FALSE
2,4,0.85,0.61,0.29,52,NA,85,NA,13,1,FALSE
5,3,3.35,5.61,0.78,100,NA,NA,NA,36,2,FALSE
1,1,0.22,4.36,0.66,88,NA,NA,NA,NA,NA,FALSE
2,2,2.72,9.36,0.16,40,NA,23,NA,30,2,FALSE
4,4,3.97,6.86,0.91,64,NA,NA,287,19,1,FALSE
3,3,1.47,1.86,0.41,16,0.69,NA,NA,42,2,FALSE
3,1,1,5.3,0.19,91,0.22,NA,NA,NA,NA,FALSE
4,2,3.5,0.3,0.69,43,NA,NA,76,23,1,FALSE
2,4,4.75,2.8,0.44,67,NA,88,NA,35,2,TRUE
5,3,2.25,7.8,0.94,19,NA,NA,NA,12,1,FALSE
5,1,4.13,1.55,0.57,7,NA,NA,NA,NA,NA,FALSE
3,2,1.63,6.55,0.07,55,0.59,NA,NA,6,1,FALSE
1,4,0.38,9.05,0.81,31,NA,NA,NA,40,2,FALSE
2,3,2.88,4.05,0.32,79,NA,26,NA,17,1,FALSE
3,3,3.82,9.67,0.75,73,0.28,NA,NA,38,1,FALSE
5,4,1.32,4.67,0.26,25,NA,NA,NA,15,2,FALSE
1,1,2.57,7.17,0.5,49,NA,NA,NA,NA,NA,FALSE
4,2,0.07,2.17,1,97,NA,NA,123,49,1,FALSE
1,2,4.44,5.92,0.38,13,NA,NA,NA,32,1,FALSE
2,1,1.94,0.92,0.88,61,NA,69,NA,NA,NA,FALSE
4,3,0.69,3.42,0.13,37,NA,NA,217,43,1,FALSE
3,4,3.19,8.42,0.63,85,0.91,NA,NA,20,2,FALSE
1,2,0.26,0.84,0.03,17,NA,NA,NA,50,1,FALSE
4,1,2.76,5.84,0.53,65,NA,NA,199,NA,NA,FALSE
3,4,1.51,3.34,0.77,89,0.46,NA,NA,16,2,FALSE
5,3,4.01,8.34,0.28,41,NA,NA,NA,39,1,FALSE
1,1,2.14,2.09,0.16,29,NA,NA,NA,NA,NA,FALSE
2,2,4.64,7.09,0.65,77,NA,64,NA,33,1,FALSE
3,3,0.89,4.59,0.9,53,0.84,NA,NA,44,1,FALSE
4,4,3.39,9.59,0.4,5,NA,NA,105,21,2,FALSE
3,2,3.7,1.47,0.34,71,0.02,NA,NA,24,1,FALSE
4,1,1.2,6.47,0.84,23,NA,NA,340,NA,NA,FALSE
5,4,4.95,3.97,0.59,47,NA,NA,NA,36,2,FALSE
2,3,2.45,8.97,0.09,95,NA,95,NA,13,1,FALSE
1,3,3.07,2.72,0.71,11,NA,NA,NA,18,1,FALSE
2,4,0.57,7.72,0.22,59,NA,33,NA,41,2,FALSE
5,2,1.82,5.22,0.96,35,NA,NA,NA,7,1,FALSE
3,1,4.32,0.22,0.47,83,0.65,NA,NA,NA,NA,FALSE
5,3,0.42,6.16,0.43,74,NA,NA,NA,14,2,FALSE
2,4,2.92,1.16,0.93,26,NA,48,NA,37,1,TRUE
3,1,1.67,8.66,0.68,50,0.37,NA,NA,NA,NA,FALSE
4,2,4.17,3.66,0.19,98,NA,NA,269,26,2,FALSE
4,3,4.79,2.41,0.81,38,NA,NA,176,20,2,FALSE
1,4,2.29,7.41,0.31,86,NA,NA,NA,43,1,FALSE
5,1,3.54,4.91,0.06,62,NA,NA,NA,NA,NA,FALSE
3,2,1.04,9.91,0.56,14,0.99,NA,NA,8,2,FALSE
2,1,0.1,3.03,0.37,8,NA,17,NA,NA,NA,FALSE
1,2,2.6,8.03,0.87,56,NA,NA,NA,29,2,FALSE
5,3,1.35,0.53,0.62,80,NA,NA,NA,40,2,FALSE
3,4,4.52,1.7,0.18,45,0.33,NA,NA,7,1,TRUE
2,4,2.92,1.16,0.93,26,NA,48,NA,37,1,TRUE
5,4,2.8,3.27,0.33,18,NA,NA,NA,8,2,TRUE
2,4,4.75,2.8,0.44,67,NA,88,NA,35,2,TRUE
1,3,4.19,2.82,0.1,30,NA,NA,NA,23,1,FALSE
3,3,3.54,6.11,0.6,38,0.22,NA,NA,27,1,FALSE
4,4,4.08,0.62,0.67,33,NA,NA,602,39,2,FALSE
2,3,1.25,4.61,0.58,24,NA,94,NA,5,2,FALSE
2,3,3.15,2.23,0.68,45,NA,46,NA,33,1,FALSE
1,1,3.43,4.06,0.54,9,NA,NA,NA,NA,NA,FALSE
3,2,4.07,2.57,0.34,27,0.69,NA,NA,21,2,FALSE
4,4,4.49,0.63,0.11,27,NA,NA,400,16,1,FALSE
3,4,1.05,2.83,0.25,8,0.05,NA,NA,24,2,FALSE
2,2,3.26,0.72,0.49,91,NA,31,NA,40,1,FALSE
1,3,3.94,0.68,0.3,48,NA,NA,NA,19,1,FALSE
1,4,4.01,0.66,0.15,27,NA,NA,NA,45,1,FALSE
3,4,4.34,1.67,0.94,38,0.66,NA,NA,24,2,FALSE
1,4,1.61,1.8,0.27,18,NA,NA,NA,11,2,FALSE
3,1,4.78,1.39,0.33,5,0.18,NA,NA,NA,NA,FALSE
2,3,4.25,1.73,0.67,37,NA,2,NA,35,2,FALSE
3,3,4.15,0.44,0.28,77,0.66,NA,NA,41,2,FALSE
3,3,4.62,4.39,0.97,20,0.44,NA,NA,28,2,FALSE
3,4,3.61,4.28,0.29,27,0.49,NA,NA,25,1,TRUE
4,1,4.1,2.69,0.76,33,NA,NA,245,NA,NA,FALSE
3,1,4.09,0.36,0.78,54,0,NA,NA,NA,NA,FALSE
3,3,4.22,3.37,0.72,29,0.54,NA,NA,13,1,FALSE
5,4,2.63,4.31,0.8,42,NA,NA,NA,22,2,FALSE
2,3,1.18,1.26,0.97,53,NA,22,NA,23,2,FALSE
3,2,3.74,3.77,0.69,24,0.65,NA,NA,48,2,FALSE
2,2,4.64,2.86,0.27,46,NA,6,NA,5,2,FALSE
3,2,2.65,2.33,0.76,55,0.69,NA,NA,17,2,FALSE
4,4,4.28,1.69,0.05,89,NA,NA,284,11,1,FALSE
1,1,3.74,8.25,0.36,95,NA,NA,NA,NA,NA,FALSE
4,4,2.39,3.79,0.95,83,NA,NA,80,45,2,FALSE
4,4,4.28,3.28,0.37,28,NA,NA,490,29,2,FALSE
5,3,2.85,3.43,0.27,23,NA,NA,NA,26,2,FALSE
2,1,4.8,4.25,0.77,50,NA,15,NA,NA,NA,FALSE
2,2,1.4,0.62,0.5,27,NA,63,NA,38,1,FALSE
5,2,3.39,5.69,0.24,36,NA,NA,NA,12,1,FALSE
4,3,2.83,2.07,0.91,41,NA,NA,244,34,1,FALSE
3,2,1.69,6.97,0.7,53,0.64,NA,NA,16,1,FALSE
3,3,2.34,3.88,0.18,53,0.37,NA,NA,13,1,FALSE
5,4,1.22,7.12,0.35,10,NA,NA,NA,29,1,FALSE
5,3,3.83,2.74,0.15,57,NA,NA,NA,23,1,FALSE
2,4,1.39,5.13,0.59,51,NA,67,NA,38,2,FALSE
2,4,0.9,4.61,0.3,21,NA,92,NA,15,1,FALSE
3,1,2.84,6.85,0.76,9,0.94,NA,NA,NA,NA,FALSE
4,4,0.78,0.14,0.2,47,NA,NA,683,5,1,FALSE
1,4,1.27,3.89,0.28,67,NA,NA,NA,32,2,FALSE
2,4,3.57,6.47,0.37,34,NA,94,NA,7,1,FALSE
2,2,4.31,3.31,0.58,79,NA,92,NA,44,1,FALSE
1,4,4.25,2.81,0.42,8,NA,NA,NA,18,2,FALSE
3,2,4.67,3.97,0.29,51,0.1,NA,NA,26,1,FALSE
5,2,1.57,3.93,0.82,16,NA,NA,NA,7,2,FALSE
3,4,1.3,3.68,0.09,16,0.27,NA,NA,27,2,FALSE
5,1,4.35,9.72,0.2,58,NA,NA,NA,NA,NA,FALSE
2,3,4.75,3.94,0.49,68,NA,31,NA,8,2,FALSE
4,3,2.38,2.68,0.25,50,NA,NA,384,38,2,FALSE
2,4,2.86,6.39,0.87,37,NA,96,NA,39,1,FALSE
3,2,1.89,1.98,0.14,16,0.68,NA,NA,9,2,FALSE
1,4,1.94,1.57,0.77,54,NA,NA,NA,38,2,FALSE
4,3,4.99,8.42,0.33,31,NA,NA,253,29,1,FALSE
3,4,3.77,1.85,0.37,48,0.42,NA,NA,23,1,TRUE
3,3,2.95,4.19,0.22,18,0.94,NA,NA,7,1,FALSE
4,1,2,3.8,0.88,40,NA,NA,414,NA,NA,FALSE
2,4,0.34,9.07,0.33,61,NA,41,NA,8,1,FALSE
3,4,4.93,3.53,0.02,37,0.08,NA,NA,24,1,TRUE
3,3,1.63,1.56,0.52,19,0.9,NA,NA,24,2,FALSE
3,4,1.68,4.13,0.12,44,0.7,NA,NA,16,1,FALSE
4,4,1.27,0.49,0.67,61,NA,NA,700,26,1,FALSE
1,4,4.91,1.7,0.59,79,NA,NA,NA,40,1,FALSE
2,2,2.39,4.45,0.41,37,NA,38,NA,33,1,FALSE
5,3,3.53,3.06,0.54,29,NA,NA,NA,38,2,FALSE
4,1,2.99,1.49,0.04,25,NA,NA,245,NA,NA,FALSE
4,1,1.65,1.96,0.86,19,NA,NA,656,NA,NA,FALSE
5,3,1.74,6.45,0.26,45,NA,NA,NA,27,1,FALSE
3,3,4.86,0.67,0.48,52,0.43,NA,NA,7,2,FALSE
3,4,4.19,1.35,0.29,42,0.28,NA,NA,18,1,TRUE
5,4,2.25,6.36,0.88,27,NA,NA,NA,18,2,FALSE
1,3,4.52,3.78,0.31,33,NA,NA,NA,38,1,FALSE
3,1,0.94,1.26,0.97,75,0.57,NA,NA,NA,NA,FALSE
2,4,4.03,4.33,0.09,43,NA,70,NA,20,1,FALSE
5,4,4.86,0.98,0.54,11,NA,NA,NA,26,1,FALSE
5,2,4.94,4.08,0.12,73,NA,NA,NA,9,2,FALSE
3,4,4.19,1.35,0.29,42,0.28,NA,NA,18,1,TRUE
3,4,4.93,3.53,0.02,37,0.08,NA,NA,24,1,TRUE
3,4,4.52,1.7,0.18,45,0.33,NA,NA,7,1,TRUE
3,4,3.61,4.28,0.29,27,0.49,NA,NA,25,1,TRUE
3,4,3.77,1.85,0.37,48,0.42,NA,NA,23,1,TRUE
3,4,4.83,3.96,0.21,24,0.76,NA,NA,19,1,FALSE
3,4,3.65,3.18,0.11,25,0.4,NA,NA,33,1,FALSE
3,4,4.29,0.8,0.2,47,0.58,NA,NA,14,1,TRUE
5,4,3.69,3.89,0.35,53,NA,NA,NA,14,1,FALSE
4,4,3.67,1.93,0.21,40,NA,NA,98,23,1,FALSE
2,1,4.48,2.83,0.77,58,NA,23,NA,NA,NA,FALSE
1,4,3.79,2.36,0.29,70,NA,NA,NA,20,1,FALSE
3,2,4.13,7.02,0.05,65,0.64,NA,NA,20,1,FALSE
2,4,3.45,3.03,0.59,16,NA,95,NA,31,1,FALSE
3,4,4.47,7.54,0.08,54,0.36,NA,NA,43,1,FALSE
3,4,2.81,2.53,0.12,41,0.39,NA,NA,46,1,FALSE
4,4,3.23,8.31,0.1,6,NA,NA,590,45,1,FALSE
1,4,2.84,3.18,0.58,47,NA,NA,NA,17,1,FALSE
3,4,3.86,7.75,0.05,62,0.36,NA,NA,17,1,FALSE
5,4,1.31,3.62,0.29,49,NA,NA,NA,15,2,FALSE
3,4,4.39,4.31,0.15,33,0.17,NA,NA,18,1,FALSE
2,4,2.61,5.46,0.25,25,NA,1,NA,27,1,FALSE
3,3,3.97,3.55,0.41,21,0.01,NA,NA,34,2,FALSE
5,4,2.33,1.11,0.28,49,NA,NA,NA,9,1,FALSE
3,3,3.02,7.34,0.69,6,0.48,NA,NA,10,1,FALSE
3,3,4.82,3.14,0.13,50,0.13,NA,NA,27,1,FALSE
3,3,2.95,1.59,0.18,15,0.82,NA,NA,34,1,FALSE
5,4,3.12,2.93,0.08,98,NA,NA,NA,15,2,FALSE
5,4,4.14,2.43,0.57,46,NA,NA,NA,23,2,FALSE
1,4,2.58,0.61,0.52,63,NA,NA,NA,5,2,FALSE
5,4,3.53,4.38,0.25,55,NA,NA,NA,19,1,FALSE
3,4,3.24,1.99,0.17,34,0.21,NA,NA,12,2,FALSE
3,2,4.92,4.23,0.06,17,0.66,NA,NA,28,1,FALSE
3,3,4.85,6.44,0.18,28,0.07,NA,NA,25,1,FALSE
3,4,4.86,0.79,0.37,78,0.52,NA,NA,18,1,FALSE
2,4,3.87,1.8,0.45,44,NA,86,NA,18,2,FALSE
3,2,3.98,6.58,0.23,66,0.2,NA,NA,30,2,FALSE
3,3,3.57,1.12,0.06,54,0.27,NA,NA,15,1,FALSE
3,4,4.72,7.13,0.01,10,0.11,NA,NA,17,1,FALSE
3,4,4.82,8.2,0.21,41,0.09,NA,NA,8,1,FALSE
1,4,2.51,0.38,0.05,44,NA,NA,NA,16,1,FALSE
3,4,2.8,0.4,0.36,40,0.85,NA,NA,14,2,FALSE
3,4,4.23,3.88,0.47,52,0.23,NA,NA,16,2,FALSE
4,3,3.64,2.07,0.31,73,NA,NA,459,26,1,FALSE
5,4,4.05,1.37,0.45,66,NA,NA,NA,22,2,FALSE
3,3,3.67,0.49,0.16,58,0.45,NA,NA,9,1,FALSE
3,1,3.26,3.7,0.34,26,0.61,NA,NA,NA,NA,FALSE
3,1,2.89,4.27,0.19,14,0.8,NA,NA,NA,NA,FALSE
4,4,4.65,0.03,0.5,33,NA,NA,36,8,1,FALSE
3,3,3.43,2.41,0.66,69,0.29,NA,NA,20,1,FALSE
1,2,4.83,3.21,0.31,58,NA,NA,NA,13,1,FALSE
3,4,3.93,4.97,0.27,41,0.64,NA,NA,19,1,FALSE
2,4,4.07,0.1,0.64,66,NA,6,NA,5,2,FALSE
5,4,2.7,2.89,0.07,34,NA,NA,NA,28,2,FALSE
2,4,3.01,0.8,0.17,36,NA,67,NA,18,1,FALSE
4,4,4.86,3.06,0.2,32,NA,NA,381,23,1,FALSE
3,2,3.2,5.11,0.19,58,0.04,NA,NA,42,2,FALSE
3,4,4.82,2.62,0.15,24,0.19,NA,NA,20,1,FALSE
5,1,4.46,1.09,0.21,69,NA,NA,NA,NA,NA,FALSE
3,4,3.84,3.85,0.16,30,0.67,NA,NA,17,1,FALSE
3,4,3.41,1.1,0.42,42,0.35,NA,NA,13,2,FALSE
3,3,4.55,4.21,0.16,25,0.13,NA,NA,30,1,FALSE
3,4,4.36,5.99,0.11,16,0.69,NA,NA,29,1,FALSE
3,4,2.3,0.85,0.55,56,0.71,NA,NA,17,1,TRUE
2,3,4.05,2.04,0.31,60,NA,35,NA,11,1,FALSE
5,4,4.94,2.55,0.32,98,NA,NA,NA,17,2,FALSE
1,4,4.49,1.11,0.08,10,NA,NA,NA,23,1,FALSE
3,4,3.95,2.22,0.04,49,0.54,NA,NA,12,1,FALSE
3,4,2.65,4.35,0.56,17,0.79,NA,NA,39,1,FALSE
3,4,3.58,3.84,0.19,5,0.36,NA,NA,13,1,TRUE
1,4,4.26,6.32,0.18,30,NA,NA,NA,26,1,FALSE
4,4,1.63,0.96,0.11,23,NA,NA,474,19,1,FALSE
3,4,3.8,2.06,0.31,35,0.3,NA,NA,12,1,FALSE
1,1,4.4,6.72,0.27,57,NA,NA,NA,NA,NA,FALSE
3,4,4.86,3.27,0.29,54,0.55,NA,NA,20,2,FALSE
3,4,3.69,1.79,0.25,56,0.84,NA,NA,32,2,FALSE
3,4,4.68,4.65,0.06,62,0.15,NA,NA,43,1,FALSE
5,4,4.75,6.32,0.27,25,NA,NA,NA,14,1,FALSE
5,4,4.98,2.83,0.69,19,NA,NA,NA,16,1,FALSE
5,4,4.93,3.97,0.28,26,NA,NA,NA,38,1,FALSE
3,4,4.96,1.3,0.49,64,0.23,NA,NA,30,1,TRUE
5,1,1.89,4.93,0.07,31,NA,NA,NA,NA,NA,FALSE
3,4,2.3,0.85,0.55,56,0.71,NA,NA,17,1,TRUE
3,4,4.96,1.3,0.49,64,0.23,NA,NA,30,1,TRUE
3,4,4.19,1.35,0.29,42,0.28,NA,NA,18,1,TRUE
3,4,4.29,0.8,0.2,47,0.58,NA,NA,14,1,TRUE
3,4,3.58,3.84,0.19,5,0.36,NA,NA,13,1,TRUE
3,2,3.23,0.16,0.49,48,0.46,NA,NA,16,1,FALSE
3,4,2.94,2.26,0.49,66,0.53,NA,NA,27,1,FALSE
4,4,4.86,2.53,0.41,25,NA,NA,282,16,1,FALSE
3,4,4.26,1.1,0.39,70,0.39,NA,NA,24,1,FALSE
3,4,2.33,1.6,0.72,66,0.78,NA,NA,19,1,TRUE
3,4,4.85,0.67,0.17,60,0.05,NA,NA,35,2,FALSE
3,4,3.48,4.1,0.36,45,0.24,NA,NA,28,1,FALSE
3,4,4.03,2.15,0.23,29,0.43,NA,NA,12,1,FALSE
3,4,4.44,2.15,0.21,73,0.59,NA,NA,29,1,FALSE
3,4,4.68,2.31,0.03,27,0.65,NA,NA,14,1,FALSE
3,4,3.73,1.43,0.02,44,0.15,NA,NA,23,1,FALSE
3,4,4.43,1.89,0.5,33,0.19,NA,NA,24,1,FALSE
3,4,3.18,3.7,0.1,17,0.33,NA,NA,18,1,FALSE
1,4,4.5,1.16,0.37,85,NA,NA,NA,36,2,FALSE
3,4,4.82,1.01,0.12,28,0.48,NA,NA,8,1,FALSE
3,4,4.89,0.3,0.53,63,0.05,NA,NA,18,1,FALSE
3,4,2.6,0.1,0.72,40,0.72,NA,NA,18,2,FALSE
3,2,3.64,2.89,0.45,68,0.3,NA,NA,32,1,FALSE
3,3,3.9,3.11,0.35,54,0.68,NA,NA,6,1,FALSE
3,4,1.76,2.08,0.42,67,0.64,NA,NA,29,2,FALSE
3,4,4.66,4.2,0.28,11,0.44,NA,NA,14,1,FALSE
4,4,4.56,0.51,0.02,33,NA,NA,503,23,1,FALSE
3,3,3.61,1.76,0.52,59,0.49,NA,NA,13,2,FALSE
3,4,1.26,1.01,0.27,58,0.99,NA,NA,22,1,TRUE
3,4,4.28,0.04,0.5,37,0.39,NA,NA,25,1,FALSE
3,4,2.64,0.69,0.19,45,0.71,NA,NA,23,2,FALSE
3,4,1.44,0.42,0.49,49,0.5,NA,NA,15,1,FALSE
4,4,2.69,0.16,0.55,65,NA,NA,346,16,2,FALSE
3,4,3.46,1.99,0.39,83,0.28,NA,NA,32,1,FALSE
3,4,4.98,0.42,0.1,49,0.65,NA,NA,25,1,FALSE
3,4,3.23,3.37,0.22,17,0.24,NA,NA,8,1,FALSE
3,4,2.89,0.57,0.26,47,0.08,NA,NA,17,1,TRUE
3,4,2.31,1.58,0.56,67,0.73,NA,NA,5,2,FALSE
3,4,1.51,1.76,0.5,57,0.31,NA,NA,13,1,FALSE
5,4,4.46,0.09,0.3,53,NA,NA,NA,21,1,FALSE
4,4,3.5,2.35,0.68,58,NA,NA,675,18,2,FALSE
3,4,2.19,4.97,0.04,15,0.21,NA,NA,17,1,FALSE
5,4,3.29,2.27,0.27,34,NA,NA,NA,18,1,FALSE
3,4,4.58,1.69,0.37,9,0.41,NA,NA,5,1,FALSE
5,4,2.28,2.77,0.3,53,NA,NA,NA,26,1,FALSE
3,4,4.91,0.55,0.54,70,0.09,NA,NA,32,2,FALSE
3,4,3.04,1.69,0.52,88,0.4,NA,NA,18,1,FALSE
3,4,2.02,1.85,0.39,52,0.55,NA,NA,14,1,FALSE
5,4,1.82,0.84,0.56,80,NA,NA,NA,19,1,FALSE
3,4,3.82,2.69,0.62,67,0.26,NA,NA,14,1,TRUE
3,4,2.88,2.22,0.27,45,0.42,NA,NA,18,2,FALSE
3,4,4.56,4,0.56,53,0.46,NA,NA,32,1,FALSE
2,4,3.06,2.85,0.11,23,NA,17,NA,25,1,FALSE
3,4,2.52,2.88,0.58,60,0.66,NA,NA,17,1,TRUE
3,4,4.43,1.85,0.29,55,0.28,NA,NA,10,1,FALSE
3,4,2.31,3.74,0.77,50,0.47,NA,NA,24,1,FALSE
3,4,2.03,1.59,0.61,59,0.62,NA,NA,21,1,FALSE
1,4,4.11,1.52,0.42,55,NA,NA,NA,13,1,FALSE
3,4,4.95,1.39,0.58,59,0.23,NA,NA,39,1,FALSE
